"id_name","event_date","false_creation_date_per_AF_year","creation_date_per_AF_year","id","name","yes_year","dates_yes","rsvp_yes_count","dates_yes_cumsum","days_to_event","yes_day","yes_month","dates_yes_otheryear","relative_today_cumsum","yes_year_factor"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-02-27,8,50,12,27,2,2020-02-27,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-02-28,5,55,11,28,2,2020-02-28,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-01,7,62,10,1,3,2020-03-01,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-02,2,64,9,2,3,2020-03-02,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-03,9,73,8,3,3,2020-03-03,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-04,3,76,7,4,3,2020-03-04,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-05,2,78,6,5,3,2020-03-05,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-06,9,87,5,6,3,2020-03-06,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-07,6,93,4,7,3,2020-03-07,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-08,2,95,3,8,3,2020-03-08,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-09,5,100,2,9,3,2020-03-09,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-10,7,107,1,10,3,2020-03-10,93,"2017"
"AF17",2017-03-11,"2017-01-22",2017-01-22,"237118943","Analytics>Forward",2017,2017-03-11,2,109,0,11,3,2020-03-11,93,"2017"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-10,6,6,59,10,1,2020-01-10,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-11,0,6,58,11,1,2020-01-11,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-12,1,7,57,12,1,2020-01-12,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-13,0,7,56,13,1,2020-01-13,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-14,0,7,55,14,1,2020-01-14,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-15,0,7,54,15,1,2020-01-15,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-16,0,7,53,16,1,2020-01-16,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-17,1,8,52,17,1,2020-01-17,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-18,0,8,51,18,1,2020-01-18,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-19,0,8,50,19,1,2020-01-19,128,"2018"
"AF18",2018-03-10,"2018-01-10",2018-01-10,"246678392","Analytics>Forward 2018",2018,2018-01-20,0,8,49,20,1,2020-01-20,128,"2018"
